,formula,structure,young_modulus,bulk_modulus,shear_modulus,hardness
530,Zr1 Ti1 Nb1 Mo1 C4,"Full Formula (Zr1 Ti1 Nb1 Mo1 C4)
Reduced Formula: ZrTiNbMoC4
abc   :   4.469788   4.463163   4.481659
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Zr     0    -0    -0
  5  Nb    -0     0.5   0.5
  6  Ti     0.5   0     0.5
  7  Mo     0.5   0.5  -0",468.097,278.173,191.915,24.805
531,Zr1 Ti1 Nb1 W1 C4,"Full Formula (Zr1 Ti1 Nb1 W1 C4)
Reduced Formula: ZrTiNbWC4
abc   :   4.467382   4.460389   4.473157
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Zr    -0    -0     0
  5  Nb     0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  W      0.5   0.5   0",496.256,288.643,204.481,26.756
532,Zr1 Ti1 Nb1 Cr1 C4,"Full Formula (Zr1 Ti1 Nb1 Cr1 C4)
Reduced Formula: ZrTiNbCrC4
abc   :   4.408144   4.414321   4.451541
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Zr     0    -0    -0
  5  Nb    -0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  Cr     0.5   0.5  -0",427.888,261.675,174.297,22.231
534,Zr1 Nb1 Mo1 W1 C4,"Full Formula (Zr1 Nb1 Mo1 W1 C4)
Reduced Formula: ZrNbMoWC4
abc   :   4.465333   4.474276   4.474412
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5  -0
  1  C      0.5  0     0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Zr     0    0    -0
  5  Nb    -0    0.5   0.5
  6  Mo     0.5  0     0.5
  7  W      0.5  0.5  -0",457.52,306.3,182.854,19.835
535,Zr1 Nb1 Cr1 Mo1 C4,"Full Formula (Zr1 Nb1 Cr1 Mo1 C4)
Reduced Formula: ZrNbCrMoC4
abc   :   4.415608   4.429262   4.434415
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Zr    -0    -0    -0
  5  Nb     0     0.5   0.5
  6  Mo     0.5  -0     0.5
  7  Cr     0.5   0.5  -0",438.936,283.756,176.679,20.508
537,Zr1 Nb1 Cr1 W1 C4,"Full Formula (Zr1 Nb1 Cr1 W1 C4)
Reduced Formula: ZrNbCrWC4
abc   :   4.411052   4.427746   4.433411
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5  -0
  1  C      0.5  0     0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Zr    -0    0    -0
  5  Nb    -0    0.5   0.5
  6  W      0.5  0     0.5
  7  Cr     0.5  0.5  -0",452.242,294.416,181.771,20.666
540,Zr1 Ta1 Ti1 Nb1 C4,"Full Formula (Zr1 Ta1 Ti1 Nb1 C4)
Reduced Formula: ZrTaTiNbC4
abc   :   4.504809   4.498209   4.504508
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b    c
---  ----  ----  ----  ---
  0  C     -0     0.5  0
  1  C      0.5  -0    0
  2  C     -0    -0    0.5
  3  C      0.5   0.5  0.5
  4  Ta    -0    -0    0
  5  Zr    -0     0.5  0.5
  6  Nb     0.5  -0    0.5
  7  Ti     0.5   0.5  0",472.561,278.302,194.15,25.358
541,Zr1 Ti1 Mo1 W1 C4,"Full Formula (Zr1 Ti1 Mo1 W1 C4)
Reduced Formula: ZrTiMoWC4
abc   :   4.414760   4.448416   4.444889
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5   0
  1  C      0.5  0    -0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Zr    -0    0     0
  5  Ti     0    0.5   0.5
  6  Mo     0.5  0     0.5
  7  W      0.5  0.5   0",475.149,299.239,192.312,22.628
542,Zr1 Ti1 Cr1 Mo1 C4,"Full Formula (Zr1 Ti1 Cr1 Mo1 C4)
Reduced Formula: ZrTiCrMoC4
abc   :   4.366606   4.382149   4.407344
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Zr     0    -0    -0
  5  Ti    -0     0.5   0.5
  6  Mo     0.5  -0     0.5
  7  Cr     0.5   0.5  -0",438.126,275.651,177.365,21.482
544,Zr1 Ti1 Cr1 W1 C4,"Full Formula (Zr1 Ti1 Cr1 W1 C4)
Reduced Formula: ZrTiCrWC4
abc   :   4.364280   4.380157   4.407084
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5   0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Zr    -0    -0    -0
  5  Ti     0     0.5   0.5
  6  W      0.5  -0     0.5
  7  Cr     0.5   0.5  -0",461.393,286.571,187.306,22.739
547,Zr1 Cr1 Mo1 W1 C4,"Full Formula (Zr1 Cr1 Mo1 W1 C4)
Reduced Formula: ZrCrMoWC4
abc   :   4.391031   4.396490   4.391529
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5   0     0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Zr     0    -0     0
  5  Mo    -0     0.5   0.5
  6  W      0.5   0     0.5
  7  Cr     0.5   0.5   0",443.888,306.661,176.321,18.398
551,Zr1 Ta1 Nb1 Mo1 C4,"Full Formula (Zr1 Ta1 Nb1 Mo1 C4)
Reduced Formula: ZrTaNbMoC4
abc   :   4.498926   4.512703   4.494100
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5   0
  1  C      0.5  0     0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Ta     0    0    -0
  5  Zr     0    0.5   0.5
  6  Nb     0.5  0     0.5
  7  Mo     0.5  0.5  -0",481.986,296.152,196.128,23.847
552,Hf1 Ti1 Nb1 V1 C4,"Full Formula (Hf1 Ti1 Nb1 V1 C4)
Reduced Formula: HfTiNbVC4
abc   :   4.437461   4.418617   4.420964
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Hf    -0     0    -0
  5  V      0     0.5   0.5
  6  Nb     0.5  -0     0.5
  7  Ti     0.5   0.5  -0",463.857,274.93,190.292,24.772
553,Hf1 Nb1 V1 Mo1 C4,"Full Formula (Hf1 Nb1 V1 Mo1 C4)
Reduced Formula: HfNbVMoC4
abc   :   4.428783   4.418705   4.436317
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b    c
---  ----  ----  ----  ---
  0  C      0     0.5  0
  1  C      0.5  -0    0
  2  C      0    -0    0.5
  3  C      0.5   0.5  0.5
  4  Hf    -0    -0    0
  5  V     -0     0.5  0.5
  6  Nb     0.5   0    0.5
  7  Mo     0.5   0.5  0",475.476,295.644,192.976,23.149
554,Hf1 Nb1 V1 W1 C4,"Full Formula (Hf1 Nb1 V1 W1 C4)
Reduced Formula: HfNbVWC4
abc   :   4.424966   4.415226   4.435929
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Hf    -0    -0     0
  5  V     -0     0.5   0.5
  6  Nb     0.5  -0     0.5
  7  W      0.5   0.5  -0",479.896,306.109,193.708,22.277
555,Hf1 Nb1 V1 Cr1 C4,"Full Formula (Hf1 Nb1 V1 Cr1 C4)
Reduced Formula: HfNbVCrC4
abc   :   4.382367   4.351787   4.389821
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Hf    -0    -0    -0
  5  V      0     0.5   0.5
  6  Nb     0.5  -0     0.5
  7  Cr     0.5   0.5   0",455.737,281.909,185.174,22.716
557,Hf1 Ti1 V1 Mo1 C4,"Full Formula (Hf1 Ti1 V1 Mo1 C4)
Reduced Formula: HfTiVMoC4
abc   :   4.398383   4.379996   4.389227
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Hf    -0    -0     0
  5  V     -0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  Mo     0.5   0.5   0",458.6,287.77,185.759,22.245
558,Hf1 Ti1 V1 W1 C4,"Full Formula (Hf1 Ti1 V1 W1 C4)
Reduced Formula: HfTiVWC4
abc   :   4.395435   4.380022   4.385047
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5   0
  1  C      0.5  0    -0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Hf    -0    0     0
  5  V      0    0.5   0.5
  6  Ti     0.5  0     0.5
  7  W      0.5  0.5   0",488.598,298.343,199.095,24.325
559,Hf1 Ti1 V1 Cr1 C4,"Full Formula (Hf1 Ti1 V1 Cr1 C4)
Reduced Formula: HfTiVCrC4
abc   :   4.336673   4.303390   4.349722
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Hf    -0    -0     0
  5  V     -0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  Cr     0.5   0.5   0",435.611,273.494,176.426,21.479
561,Hf1 V1 Mo1 W1 C4,"Full Formula (Hf1 V1 Mo1 W1 C4)
Reduced Formula: HfVMoWC4
abc   :   4.389204   4.396701   4.399784
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a    b     c
---  ----  ---  ---  ----
  0  C     0    0.5  -0
  1  C     0.5  0    -0
  2  C     0    0     0.5
  3  C     0.5  0.5   0.5
  4  Hf    0    0     0
  5  V     0    0.5   0.5
  6  Mo    0.5  0     0.5
  7  W     0.5  0.5   0",472.338,317.622,188.611,20.108
562,Zr1 Ta1 Nb1 W1 C4,"Full Formula (Zr1 Ta1 Nb1 W1 C4)
Reduced Formula: ZrTaNbWC4
abc   :   4.493369   4.510767   4.489280
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5  -0
  1  C      0.5  0    -0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Ta     0    0    -0
  5  Zr    -0    0.5   0.5
  6  Nb     0.5  0     0.5
  7  W      0.5  0.5   0",484.137,305.002,195.936,22.897
563,Hf1 V1 Cr1 Mo1 C4,"Full Formula (Hf1 V1 Cr1 Mo1 C4)
Reduced Formula: HfVCrMoC4
abc   :   4.340302   4.327909   4.347068
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5   0
  1  C      0.5  0    -0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Hf    -0    0     0
  5  V     -0    0.5   0.5
  6  Mo     0.5  0     0.5
  7  Cr     0.5  0.5  -0",455.214,297.238,182.853,20.649
565,Hf1 V1 Cr1 W1 C4,"Full Formula (Hf1 V1 Cr1 W1 C4)
Reduced Formula: HfVCrWC4
abc   :   4.336931   4.330573   4.347684
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5  -0
  1  C      0.5  0     0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Hf     0    0    -0
  5  V      0    0.5   0.5
  6  W      0.5  0     0.5
  7  Cr     0.5  0.5  -0",468.049,308.1,187.699,20.741
568,Hf1 Ti1 Nb1 Mo1 C4,"Full Formula (Hf1 Ti1 Nb1 Mo1 C4)
Reduced Formula: HfTiNbMoC4
abc   :   4.459564   4.450766   4.467219
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5  -0
  1  C      0.5  0     0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Hf    -0    0    -0
  5  Nb     0    0.5   0.5
  6  Ti     0.5  0     0.5
  7  Mo     0.5  0.5   0",482.767,289.214,197.565,24.954
569,Hf1 Ti1 Nb1 W1 C4,"Full Formula (Hf1 Ti1 Nb1 W1 C4)
Reduced Formula: HfTiNbWC4
abc   :   4.456533   4.446836   4.461195
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5  -0
  1  C      0.5  0     0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Hf     0    0    -0
  5  Nb    -0    0.5   0.5
  6  Ti     0.5  0     0.5
  7  W      0.5  0.5   0",507.962,299.626,208.618,26.504
570,Hf1 Ti1 Nb1 Cr1 C4,"Full Formula (Hf1 Ti1 Nb1 Cr1 C4)
Reduced Formula: HfTiNbCrC4
abc   :   4.401957   4.404086   4.432179
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Hf     0    -0    -0
  5  Nb    -0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  Cr     0.5   0.5   0",445.975,273.534,181.547,22.73
572,Hf1 Nb1 Mo1 W1 C4,"Full Formula (Hf1 Nb1 Mo1 W1 C4)
Reduced Formula: HfNbMoWC4
abc   :   4.457083   4.460369   4.462808
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5   0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Hf    -0     0    -0
  5  Nb     0     0.5   0.5
  6  Mo     0.5  -0     0.5
  7  W      0.5   0.5  -0",482.24,317.112,193.43,21.196
573,Zr1 Ta1 Nb1 Cr1 C4,"Full Formula (Zr1 Ta1 Nb1 Cr1 C4)
Reduced Formula: ZrTaNbCrC4
abc   :   4.455811   4.471809   4.451776
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Ta     0    -0     0
  5  Zr     0     0.5   0.5
  6  Nb     0.5   0     0.5
  7  Cr     0.5   0.5  -0",464.456,282.688,189.393,23.663
574,Hf1 Nb1 Cr1 Mo1 C4,"Full Formula (Hf1 Nb1 Cr1 Mo1 C4)
Reduced Formula: HfNbCrMoC4
abc   :   4.409498   4.418114   4.418225
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5   0
  1  C      0.5  0    -0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Hf    -0    0    -0
  5  Nb     0    0.5   0.5
  6  Mo     0.5  0     0.5
  7  Cr     0.5  0.5  -0",444.544,295.645,177.904,19.682
576,Hf1 Nb1 Cr1 W1 C4,"Full Formula (Hf1 Nb1 Cr1 W1 C4)
Reduced Formula: HfNbCrWC4
abc   :   4.404287   4.418788   4.416334
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Hf     0    -0     0
  5  Nb    -0     0.5   0.5
  6  W      0.5  -0     0.5
  7  Cr     0.5   0.5   0",458.971,306.154,183.568,20.004
579,Hf1 Ti1 Mo1 W1 C4,"Full Formula (Hf1 Ti1 Mo1 W1 C4)
Reduced Formula: HfTiMoWC4
abc   :   4.404456   4.435810   4.434319
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5  -0
  1  C      0.5  0     0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Hf    -0    0    -0
  5  Ti     0    0.5   0.5
  6  Mo     0.5  0     0.5
  7  W      0.5  0.5  -0",479.93,310.554,193.141,21.728
580,Hf1 Ti1 Cr1 Mo1 C4,"Full Formula (Hf1 Ti1 Cr1 Mo1 C4)
Reduced Formula: HfTiCrMoC4
abc   :   4.358891   4.373745   4.391205
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Hf     0    -0    -0
  5  Ti    -0     0.5   0.5
  6  Mo     0.5  -0     0.5
  7  Cr     0.5   0.5   0",455.057,288.026,183.983,21.799
582,Hf1 Ti1 Cr1 W1 C4,"Full Formula (Hf1 Ti1 Cr1 W1 C4)
Reduced Formula: HfTiCrWC4
abc   :   4.355952   4.373245   4.390720
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5  -0
  1  C      0.5  0     0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Hf    -0    0    -0
  5  Ti    -0    0.5   0.5
  6  W      0.5  0     0.5
  7  Cr     0.5  0.5   0",481.036,298.715,195.288,23.38
586,Hf1 Cr1 Mo1 W1 C4,"Full Formula (Hf1 Cr1 Mo1 W1 C4)
Reduced Formula: HfCrMoWC4
abc   :   4.381703   4.388640   4.377685
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5   0
  1  C     0.5  -0     0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Hf    0    -0     0
  5  Mo    0     0.5   0.5
  6  W     0.5  -0     0.5
  7  Cr    0.5   0.5  -0",454.624,319.071,180.045,18.191
590,Ti1 Nb1 V1 Mo1 C4,"Full Formula (Ti1 Nb1 V1 Mo1 C4)
Reduced Formula: TiNbVMoC4
abc   :   4.354529   4.336926   4.341697
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5  -0
  1  C      0.5  0     0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  V     -0    0    -0
  5  Nb     0    0.5   0.5
  6  Ti     0.5  0     0.5
  7  Mo     0.5  0.5   0",482.616,306.012,195.052,22.594
591,Ti1 Nb1 V1 W1 C4,"Full Formula (Ti1 Nb1 V1 W1 C4)
Reduced Formula: TiNbVWC4
abc   :   4.356543   4.334831   4.339932
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5   0
  1  C      0.5  0    -0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  V     -0    0     0
  5  Nb    -0    0.5   0.5
  6  Ti     0.5  0     0.5
  7  W      0.5  0.5  -0",482.83,316.992,193.73,21.273
592,Ti1 Nb1 V1 Cr1 C4,"Full Formula (Ti1 Nb1 V1 Cr1 C4)
Reduced Formula: TiNbVCrC4
abc   :   4.283082   4.284359   4.269155
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5   0
  1  C     0.5  -0    -0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  V     0    -0     0
  5  Nb    0     0.5   0.5
  6  Ti    0.5  -0     0.5
  7  Cr    0.5   0.5  -0",475.528,294.485,193.167,23.315
594,Nb1 V1 Mo1 W1 C4,"Full Formula (Nb1 V1 Mo1 W1 C4)
Reduced Formula: NbVMoWC4
abc   :   4.356256   4.356237   4.358004
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  V     -0    -0     0
  5  Nb    -0     0.5   0.5
  6  Mo     0.5  -0     0.5
  7  W      0.5   0.5  -0",511.887,333.894,205.662,22.364
595,Zr1 Ta1 Ti1 Mo1 C4,"Full Formula (Zr1 Ta1 Ti1 Mo1 C4)
Reduced Formula: ZrTaTiMoC4
abc   :   4.469761   4.480983   4.458115
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0    -0    -0
  5  Zr    -0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  Mo     0.5   0.5   0",474.571,287.169,193.771,24.246
596,Nb1 V1 Cr1 Mo1 C4,"Full Formula (Nb1 V1 Cr1 Mo1 C4)
Reduced Formula: NbVCrMoC4
abc   :   4.304801   4.298937   4.279832
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5   0
  1  C      0.5  0     0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  V      0    0    -0
  5  Nb     0    0.5   0.5
  6  Mo     0.5  0     0.5
  7  Cr     0.5  0.5   0",469.412,316.166,187.383,19.969
598,Nb1 V1 Cr1 W1 C4,"Full Formula (Nb1 V1 Cr1 W1 C4)
Reduced Formula: NbVCrWC4
abc   :   4.302020   4.301926   4.282796
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b    c
---  ----  ----  ----  ---
  0  C      0     0.5  0
  1  C      0.5   0    0
  2  C      0    -0    0.5
  3  C      0.5   0.5  0.5
  4  V      0     0    0
  5  Nb    -0     0.5  0.5
  6  W      0.5   0    0.5
  7  Cr     0.5   0.5  0",493.576,326.154,197.782,21.345
601,Ti1 V1 Mo1 W1 C4,"Full Formula (Ti1 V1 Mo1 W1 C4)
Reduced Formula: TiVMoWC4
abc   :   4.298720   4.321044   4.317172
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  V      0    -0    -0
  5  Ti     0     0.5   0.5
  6  Mo     0.5  -0     0.5
  7  W      0.5   0.5   0",488.0,332.219,194.394,20.118
602,Ti1 V1 Cr1 Mo1 C4,"Full Formula (Ti1 V1 Cr1 Mo1 C4)
Reduced Formula: TiVCrMoC4
abc   :   4.241096   4.243582   4.240331
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  V      0    -0     0
  5  Ti    -0     0.5   0.5
  6  Mo     0.5  -0     0.5
  7  Cr     0.5   0.5   0",486.793,315.244,195.871,21.904
604,Ti1 V1 Cr1 W1 C4,"Full Formula (Ti1 V1 Cr1 W1 C4)
Reduced Formula: TiVCrWC4
abc   :   4.239835   4.246121   4.246319
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  V      0    -0    -0
  5  Ti    -0     0.5   0.5
  6  W      0.5  -0     0.5
  7  Cr     0.5   0.5  -0",495.485,325.617,198.769,21.605
606,Zr1 Ta1 Ti1 W1 C4,"Full Formula (Zr1 Ta1 Ti1 W1 C4)
Reduced Formula: ZrTaTiWC4
abc   :   4.467081   4.472703   4.455840
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5  -0
  1  C      0.5  0     0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Ta    -0    0    -0
  5  Zr    -0    0.5   0.5
  6  Ti     0.5  0     0.5
  7  W      0.5  0.5   0",503.261,297.724,206.547,26.21
608,V1 Cr1 Mo1 W1 C4,"Full Formula (V1 Cr1 Mo1 W1 C4)
Reduced Formula: VCrMoWC4
abc   :   4.270116   4.275482   4.251967
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  V      0    -0    -0
  5  Mo    -0     0.5   0.5
  6  W      0.5  -0     0.5
  7  Cr     0.5   0.5   0",476.783,344.397,187.818,17.873
612,Ti1 Nb1 Mo1 W1 C4,"Full Formula (Ti1 Nb1 Mo1 W1 C4)
Reduced Formula: TiNbMoWC4
abc   :   4.384958   4.388787   4.384291
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Nb    -0    -0    -0
  5  Ti    -0     0.5   0.5
  6  Mo     0.5  -0     0.5
  7  W      0.5   0.5  -0",477.774,327.492,190.068,19.6
