,formula,structure,young_modulus,bulk_modulus,shear_modulus,hardness
42,Hf3 Nb1 C4,"Full Formula (Hf3 Nb1 C4)
Reduced Formula: Hf3NbC4
abc   :   4.602461   4.602461   4.602461
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Hf    -0    -0    -0
  5  Hf    -0     0.5   0.5
  6  Hf     0.5  -0     0.5
  7  Nb     0.5   0.5   0",460.284,266.288,189.9,25.722
44,Hf3 Ta1 C4,"Full Formula (Hf3 Ta1 C4)
Reduced Formula: Hf3TaC4
abc   :   4.596666   4.596666   4.596666
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5  -0
  1  C      0.5  0    -0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Hf    -0    0     0
  5  Hf    -0    0.5   0.5
  6  Hf     0.5  0     0.5
  7  Ta     0.5  0.5   0",477.108,274.948,197.024,26.51
45,Hf3 Ti1 C4,"Full Formula (Hf3 Ti1 C4)
Reduced Formula: Hf3TiC4
abc   :   4.583529   4.583529   4.583529
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Hf    -0     0    -0
  5  Hf    -0     0.5   0.5
  6  Hf     0.5  -0     0.5
  7  Ti     0.5   0.5   0",438.606,252.101,181.237,25.214
46,Hf1 Ti1 Cr2 C4,"Full Formula (Hf1 Ti1 Cr2 C4)
Reduced Formula: HfTi(CrC2)2
abc   :   4.278273   4.328159   4.328159
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0     0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0    -0    -0
  5  Cr    -0     0.5   0.5
  6  Hf     0.5   0     0.5
  7  Ti     0.5   0.5   0",412.692,271.543,165.514,19.076
47,Hf3 V1 C4,"Full Formula (Hf3 V1 C4)
Reduced Formula: Hf3VC4
abc   :   4.550151   4.550151   4.550151
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Hf    -0     0    -0
  5  Hf    -0     0.5   0.5
  6  Hf     0.5  -0     0.5
  7  V      0.5   0.5  -0",437.42,256.463,179.9,24.3
48,Hf3 W1 C4,"Full Formula (Hf3 W1 C4)
Reduced Formula: Hf3WC4
abc   :   4.564676   4.564676   4.564676
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Hf     0    -0     0
  5  Hf    -0     0.5   0.5
  6  Hf     0.5  -0     0.5
  7  W      0.5   0.5  -0",495.246,282.833,204.958,27.595
49,Hf3 Zr1 C4,"Full Formula (Hf3 Zr1 C4)
Reduced Formula: Hf3ZrC4
abc   :   4.661312   4.661312   4.661312
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a    b     c
---  ----  ---  ---  ----
  0  C     0    0.5   0
  1  C     0.5  0     0
  2  C     0    0     0.5
  3  C     0.5  0.5   0.5
  4  Hf    0    0     0
  5  Hf    0    0.5   0.5
  6  Hf    0.5  0     0.5
  7  Zr    0.5  0.5  -0",438.088,246.302,181.998,26.203
50,Hf2 Mo2 C4,"Full Formula (Hf2 Mo2 C4)
Reduced Formula: HfMoC2
abc   :   4.479134   4.510598   4.510598
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Hf    -0    -0     0
  5  Hf    -0     0.5   0.5
  6  Mo     0.5   0     0.5
  7  Mo     0.5   0.5  -0",470.87,294.276,190.896,22.797
51,Hf2 Nb1 Mo1 C4,"Full Formula (Hf2 Nb1 Mo1 C4)
Reduced Formula: Hf2NbMoC4
abc   :   4.513828   4.539211   4.539211
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0     0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Hf    0    -0    -0
  5  Hf    0     0.5   0.5
  6  Mo    0.5  -0     0.5
  7  Nb    0.5   0.5   0",467.5,286.168,190.393,23.529
53,Hf2 Ta1 Mo1 C4,"Full Formula (Hf2 Ta1 Mo1 C4)
Reduced Formula: Hf2TaMoC4
abc   :   4.506267   4.538326   4.538326
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Hf     0     0     0
  5  Hf     0     0.5   0.5
  6  Mo     0.5   0     0.5
  7  Ta     0.5   0.5  -0",483.523,296.131,196.895,24.033
